"Name (english)","Acronym (english)","Name (french)","Acronym (French)","Street","Postcode","Town","Country","Tel","Fax","Website","Email","Funding","Nature of organisation","President First Name","President Last Name","President Address","SG First Name","SG Last Name","SG Address","Year of foundation","Staff","Number of members","Working languages","Official languages","Committes","Geographical representation","Areas of competence","yearStatus"
"European Network church on the Move","EN/RE","Réseau Européen Eglises et Libertés","EN/RE","c/o François Becker 52 rue de Verneuil","75007","PARIS","France","+33(0)1 42 86 13 87","+33(0)1 42 86 13 87","www.en-re.eu","frbecker@orange.fr","Member fees, Private donations","Federation","","","","François","Becker","52 rue de Verneuil 75007 PARIS France","1991","0","0","English, French","English, German, French, Spanish","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights, Human Rights","Austria, Belgium, Czech Republic, Spain, France, Germany, Hungary, Ireland, Italy, Netherlands, Poland, Portugal, Switzerland, United Kingdom","Human rights, Promotion and defence of Human Rights, Gender equality, Fight against racism, Democracy, local and regional democracy, Social Cohension, Fight against poverty and social exclusion, Fight against violence, Intercommunity relations and integration, International Co-operation, Promotion of Peace, North-South Dialogue, Humanitarian aid, European integration, Education and Culture, Cultural diversity, Religion, Media and Communication, Freedom of expression, Rights of Minorities, Intercultural Dialogue, Higher Educational, Strengthening civil society","2008"
"European Network for Children of Imprisoned Parents","EUROCHIPS","Réseau européen des enfants des parents détenus","EUROCHIPS","4, rue Charles Floquets","92120","Montrouge","France","+ 33 1 42 53 71 85","","www.eurochips.org","","","Association","Alain","Bouregba","as above","Larry","De Cleir","as above","0","0","0","","","","","","0"
"European Network for Education and Training","EUNET","Réseau européen pour l’éducation et la formation","EUNET","Weberstrasse 118","53113","Bonn","Germany","+49228 94930126","+49228 94930119","www.european-net.org/","","Member fees, Public funding, Private donations","Association","Catherine","Guy-Quint","Clermont Ferrand","Thomas","Heckeberg","Weberstrasse 118 53113 - Bonn Deutschland","2004","1","80","Deutsch","English","Democracy, Social Cohesion and Global Challenges, Education and Culture","Belgium, Croatia, Cyprus, Czech Republic, Danemark, Spain, France, Germany, Hungary, Italy, Netherlands, Poland, Portugal, Slovenia, Slovakia, Sweden, Turkey, Greece, Malta","Human rights, Promotion and defence of Human Rights, Democracy, Promotion of democratic values and education for democratic citizenship, Social Cohension, Fight against poverty and social exclusion, Migration, International Co-operation, Promotion of Peace, Conflict meditation, European integration, Education and Culture, Education for Democratic Citizenship, Cultural diversity, Environment and sustanable development, Environment protection, Youth, Youth participation, Intercultural Dialogue, Strengthening civil society","2009"
"European Network of Independent Living","ENIL","Reseau European Network of Independent Living","ENIL","Gran Via Marques del Turia 49, 7, 12","46005","Valencia","Spain","+ 34 963 25 54 57","+ 34 963 25 54 59","www.enil.eu","secretariat@enil.eu","","Association","","","","Jamie","Bolling","","0","0","0","","","","Austria, Belgium, Bulgaria, Cyprus, Spain, France, Germany, Hungary, Ireland, Italy, Norway, Poland, Slovenia, Slovakia, Sweden, Greece, Latvia, Serbia, United Kingdom, Montenegro","","2012"
"European Network of Ombudspersons for Children","ENOC","Réseau européen des médiateurs pour enfants","ENOC","Conseil de l'Europe Bât. ""AGORA"" bureaux n° B5 07-","67075","Strasbourg","France","+33 3 90 21 54 88","+33 3 88 41 29 67","www.ombudsnet.org","","Member fees","Association","Marek","MICHALAK","","Bernard","De VOS","","1997","1","40","English","","","Austria, Belgium, Croatia, Cyprus, Danemark, Spain, Finland, France, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Slovakia, Sweden, Greece, Georgia, Azerbaijan, Armenia, Luxembourg, Malta, Moldova, Bosnia and Herzegovina, Serbia, Iceland, Russian Federation, United Kingdom, Montenegro","Human rights, Children's rights, Social Cohension, Children, Family, Youth, Youth policy, Youth participation","2008"
"European Network of Training Organisations for Local and Regional Authorities","ENTO","Réseau européen des Institutions de Formation pour les Collectivités territoriales","ENTO","","","","Germany","","","","","","Association","","","","","","","0","0","0","","","","","","0"
"European Newspaper Publishers' Association","ENPA","Association européenne des Editeurs de Journaux","ENPA","Square du Bastion 1a","B-1050","Brussels","Belgium","+32 2 551 01 90","+32 2 551 01 99","www.enpa.be","","Member fees","Association","Valdo","LEHARI","c/o ENPA offices Square du Bastion 1a, Brussels B-1050","Valtteri","NIIRANEN","ENPA offices, Square du Bastion 1a, Brussels, B-1050","0","5","25","English, French","","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Austria, Belgium, Bulgaria, Cyprus, Czech Republic, Danemark, Spain, Estonia, Finland, France, Germany, Hungary, Ireland, Italy, Netherlands, Norway, Poland, Portugal, Romania, Switzerland, Slovakia, Sweden, Greece, Luxembourg, United Kingdom","Human rights, Other, Democracy, Promotion of democratic values and education for democratic citizenship, Other, Education and Culture, Education for Democratic Citizenship, Cultural diversity, Other, Media and Communication, Freedom of expression, Media pluralism, Access to information, Media and conflicts, Media and minorities, Media and violence, Media assistance, Other, Security and access to Internet","0"
"European Non-governmental Sports Organisation","ENGSO","Organisation européenne non governementale des Sports","ENGSO","35/II Terazije St.","11000","Belgrade","Serbia","+ 381 11 3671574","+ 381 11 3671887","www.engso.com & www.engso.eu","","Member fees, Public funding","Association","Birgitta","KERVINEN","FIN-01510 Vantaa Leija Business Service Center 3, Elannont","Predrag","MANOJLOVIC","","1990","2","40","English","English","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Austria, Belgium, Bulgaria, Croatia, Czech Republic, Danemark, Spain, Estonia, Finland, France, Germany, Hungary, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Switzerland, Slovakia, Sweden, Turkey, Albania, the former Yugoslav Republic of Macedonia, Georgia, Latvia, Luxembourg, Malta, Bosnia and Herzegovina, Serbia, Iceland, Andorra, San Marino, Russian Federation, United Kingdom, Belarus","Social Cohension, International Co-operation, Education and Culture, Health, Environment and sustanable development, Media and Communication, Youth, Sport","1990"
"European Ombudsman Institute","EOI","Institut européen de l'Ombudsman","EOI","Salurnerstraße","6020","Innsbruck","Austria","0043 512566910","0043 512575971","www.eoi.at","eoi@tirol.com","Member fees","Association","Notburga","VOLGGER","Kaiserstraße 32 55116 Mainz Germany","Josef","SIEGELE","Salurnerstraße, 6020, Innsbruck, Austria","1988","0","0","Deutsch / English / Francais /","Deutsch / English / Francais","Democracy, Social Cohesion and Global Challenges, Human Rights, Human Rights","Austria, Belgium, Bulgaria, Czech Republic, Spain, France, Germany, Hungary, Italy, Netherlands, Poland, Romania, Switzerland, Sweden, Armenia, Latvia, Luxembourg, Ukraine, Serbia, Russian Federation, United Kingdom","Human rights, Democracy, Social Cohension, International Co-operation, Education and Culture, Rule of Law, Health, Environment and sustanable development, Other","0"
"European Organisation of Military Associations","EUROMIL","Organisation Européenne des Associations Militaires","EUROMIL","Rue John Waterloo Wilson 78","1000","Brussels","Belgium","0032 2 6260680","0032 2 6260689","www.euromil.org","euromil@euromil.org","Member fees","Association","Emmanuel","Jacob","Rue John Waterloo Wilson 78, B-1000 Brussels, Belgium","","","","1972","2","40","English","English","Democracy, Social Cohesion and Global Challenges, Human Rights, Human Rights","Belgium, Bulgaria, Cyprus, Czech Republic, Danemark, Spain, Finland, France, Germany, Ireland, Italy, Lithuania, Netherlands, Poland, Portugal, Romania, Slovenia, Slovakia, Sweden, Greece, Albania, the former Yugoslav Republic of Macedonia, Latvia, Malta, Russian Federation, United Kingdom, Montenegro","Human rights, Promotion and defence of Human Rights, Legal protection, Economics and social rights, Gender equality, Democracy, Social Cohension, Family, Rule of Law, Strengthening civil society, Security","2003"
"European Organisation of Regional External Public Finance Audit Institutions","EURORAI","Organisation européenne des institutions régionales de contrôle externe des finances publiques","EURORAI","San Vicente 4","46002","Valencia","Spain","+34 96 3876450","+34 96 387 64 17/19","www.eurorai.org","","Member fees","Association","Stephen","TAYLOR","1st Floor, Millbank Tower UK-London SW1P 4 HQ","Rafael","VICENTE QUERALT","San Vicente, 4 E-46002 Valencia","1992","2","76","english","english, french. german and spanish","","Austria, Cyprus, Spain, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Poland, Portugal, Slovenia, Switzerland, Slovakia, Ukraine, Russian Federation, United Kingdom, Canada","Democracy, local and regional democracy, International Co-operation, Other, Rule of Law, Fight against corruption","2001"
"European Organization for Probation","CEP","Conférence permanente européenne de la Probation","CEP","Vivaldipantsoen 200","3533","Utrecht","Netherlands","31302324900","31302324950","www.cep-probation.org","","Member fees","Association","Marc","Cerón i Riera","Carrer d'Aragó 332 E-08009 Barcelona, Spain","Leo","Tigges","CEP office P.O. Box 8215 3503 RE Utrecht","1981","5","131","English, French, German","","","Austria, Belgium, Bulgaria, Croatia, Czech Republic, Danemark, Spain, Estonia, Finland, France, Germany, Hungary, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Romania, Slovenia, Switzerland, Sweden, Greece, the former Yugoslav Republic of Macedonia, Liechtenstein, Georgia, Latvia, Luxembourg, Malta, Moldova, United Kingdom","Human rights, International Co-operation, Rule of Law","0"
"European Paralympic Committee","EPC","Comité européen paralympique","EPC","Opernring 1, Stiege E/2.Stock Top 222-227","1010","Vienna","Austria","4,3189E+11","4,3189E+11","www.europaralympic.org","saskia.keufer@europaralympic.org","Member fees","Association","John","Petersson","Hirsevey 9 4040 Jyllinge Denmark john.petersson@dk.ey.com","Luca","Pancalli","","1991","2","52","English","English","Education and Culture","Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Danemark, Spain, Estonia, Finland, France, Germany, Hungary, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Romania, Slovenia, Switzerland, Slovakia, Sweden, Turkey, Greece, Albania, the former Yugoslav Republic of Macedonia, Liechtenstein, Georgia, Azerbaijan, Armenia, Latvia, Luxembourg, Malta, Ukraine, Moldova, Bosnia and Herzegovina, Serbia, Iceland, Andorra, Russian Federation, United Kingdom, Belarus","Sport","2008"
"European Parents' Association","EPA","Association européenne des Parents","EPA","Strozzigasse 2/418","1080","Vienne","Austria","4,31531E+11","","www.euparents.eu","office@euparents.eu","Member fees, Public funding, Private donations","Association","Estzer","Salamon","Strozzigasse 2/418 A-1080 Wien","--","--","--","1985","0","45","English","","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Austria, Belgium, Bulgaria, Croatia, Cyprus, Danemark, Spain, Finland, France, Germany, Hungary, Ireland, Italy, Lithuania, Netherlands, Poland, Portugal, Romania, Slovakia, Sweden, Greece, Liechtenstein, Luxembourg, Malta, Iceland, United Kingdom","Human rights, Democracy, Education and Culture, Health, Media and Communication, Youth, Sport","0"
"European Parliamentary Forum on Population and Development","EPF","Forum parlementaire européen sur la population et le développement","EPF","23 rue Montoyer","1000","Brussels","Belgium","3225008653","3225116762","www.epfweb.org","","","Federation","George, MP","Tsereteli","c/o EPF rue Montoyer, 23 1000 Brussels, Belgium","Neil","Datta","c/o EPF 23 rue Montoyer, 1000 Brussels, Belgium","10","8","29","English","Russian","Democracy, Social Cohesion and Global Challenges, Human Rights","Austria, Belgium, Danemark, Spain, Finland, France, Germany, Ireland, Lithuania, Portugal, Romania, Switzerland, Sweden, Turkey, Georgia, Azerbaijan, Armenia, Latvia, Moldova, Bosnia and Herzegovina, Serbia, Russian Federation, United Kingdom","Human rights, Children's rights, Gender equality, Health, Health and Ethics, Public Health, Youth, Youth policy","0"
"European Platform for Rehabilitation","EPR","Plate-forme européenne pour la Réhabilitation","EPR","Rue de Spa 15","1000","Brussels","Belgium","3227365444","3227368622","www.epr.eu","","","Association","Jeronimo","de Sousa","Rue de Spa 15 Brussels 1000 Belgium","Jan","Spooren","Rue de Spa 15 Brussels 1000 Belgium","1992","7","23","English","","Democracy, Social Cohesion and Global Challenges, Education and Culture","Danemark, Estonia, Finland, France, Germany, Greece, Ireland, Italy, Malta, Norway, Portugal, Slovenia, Spain, United Kingdom","Education and Culture, Social Cohension","2005"
"European Prison Education Association","EPEA","Association européenne pour l'éducation en milieu pénitentiaire","EPEA","Danvikgata 25","3045","Drammen","Norway","","","www.epea.org","epea@epea.org","Membership fees","Association","Annet","BAKKER","","Cecilie Torsvik","HØISÆTER","","1991","8","900","English","English","Education and Culture, Human Rights","Albania, Armenia, Austria, Azerbaijan, Belgium, Bulgaria, Canada, Cyprus, Czech Republic, Danemark, Estonia, Finland, France, Georgia, Germany, Greece, Hungary, Iceland, Ireland, Italy, Latvia, Lithuania, Malta, Moldova, Netherlands, Norway, Poland, Portugal, Romania, Russian Federation, Slovakia, Slovenia, Spain, Sweden, Switzerland, Turkey, United Kingdom, USA","Democracy, Equal democracy, Other, Promotion of democratic values and education for democratic citizenship, Strengthening civil society, Education and Culture, Art, music, theatre, Cultural diversity, Cultural policies, Education for Democratic Citizenship, Intercultural Dialogue, Other, Human rights, Fight against racism, Gender equality, Other, Prevention of Torture, Promotion and defence of Human Rights, Rights of Minorities, International Co-operation, European integration, Other, Promotion of Peace, Other, Rule of Law, Social Cohension","2001"
